timestamp,ticker,price,change,change_pct,prev_close,week_52_high,week_52_low,market_cap
2026-04-10T09:00:11.940778,CSCO,82.5111,-0.6589000000000027,-0.7922327762414364,83.17,88.19,53.83,326009159680
2026-04-10T12:00:03.764658,CSCO,81.93,-1.2399999999999949,-1.4909222075267463,83.17,88.19,53.83,323713171456
2026-04-10T15:00:03.701428,CSCO,82.22,-0.9500000000000028,-1.1422387880245315,83.17,88.19,53.83,324859002880
2026-04-13T09:00:03.101551,CSCO,81.57,-0.6500000000000057,-0.7905619070785767,82.22,88.19,53.83,322290778112
2026-04-13T12:00:03.354157,CSCO,81.615,-0.605000000000004,-0.7358306981269812,82.22,88.19,53.83,322468577280
2026-04-13T15:00:03.142000,CSCO,82.35,0.12999999999999545,0.1581123814157084,82.22,88.19,53.83,325372641280
2026-04-14T09:00:03.380593,CSCO,81.53,-0.8199999999999932,-0.9957498482088564,82.35,88.19,53.83,322132738048
2026-04-14T12:00:03.242426,CSCO,82.355,0.005000000000009663,0.006071645415919445,82.35,88.19,53.83,325392400384
2026-04-14T15:00:03.519318,CSCO,82.61,0.2600000000000051,0.31572556162720716,82.35,88.19,53.83,326399918080
2026-04-15T09:00:03.767623,CSCO,80.93,-1.6799999999999926,-2.0336521002299874,82.61,88.19,53.83,319762071552
2026-04-15T12:00:03.122311,CSCO,82.405,-0.2049999999999983,-0.24815397651615823,82.61,88.19,53.83,325589925888
2026-04-15T15:00:02.953027,CSCO,82.36,-0.25,-0.30262680062946373,82.61,88.19,53.83,325412159488
2026-04-16T09:00:03.785985,CSCO,83.545,1.1850000000000023,1.4388052452646944,82.36,88.19,53.83,330094182400
2026-04-16T12:00:03.725981,CSCO,83.9,1.5400000000000063,1.8698397280233199,82.36,88.19,53.83,331496849408
2026-04-16T15:00:03.792654,CSCO,84.5,2.1400000000000006,2.5983487129674607,82.36,88.19,53.83,333867483136
2026-04-17T09:00:03.441479,CSCO,85.5,1.0,1.183431952662722,84.5,88.19,53.83,337818583040
2026-04-17T12:00:03.855195,CSCO,86.335,1.8349999999999937,2.1715976331360873,84.5,88.19,53.83,341117730816
2026-04-17T15:00:03.627790,CSCO,86.25,1.75,2.0710059171597637,84.5,88.19,53.83,340781891584
